item_id,annotator,label
t001,ana,positive
t001,ben,positive
t001,cara,positive
t002,ana,negative
t002,ben,negative
t002,cara,negative
t003,ana,positive
t003,ben,positive
t003,cara,negative
t004,ana,neutral
t004,ben,neutral
t004,cara,neutral
t005,ana,positive
t005,ben,negative
t005,cara,positive
t006,ana,negative
t006,ben,negative
t006,cara,positive
t007,ana,positive
t007,ben,positive
t007,cara,positive
t008,ana,neutral
t008,ben,positive
t008,cara,neutral
t009,ana,negative
t009,ben,negative
t009,cara,negative
t010,ana,positive
t010,ben,positive
t010,cara,positive
t011,ana,negative
t011,ben,positive
t011,cara,negative
t012,ana,neutral
t012,ben,neutral
t012,cara,positive
t013,ana,positive
t013,ben,positive
t014,ana,negative
t014,ben,negative
t015,ana,positive
t015,cara,positive
